ID,Latitude,Longitude
4149334,9.95833334,-2.20833334
4149335,9.95833334,-2.12500001
4149336,9.95833334,-2.04166667
4149337,9.95833334,-1.95833334
4149338,9.95833334,-1.87500001
4149339,9.95833334,-1.79166667
4149340,9.95833334,-1.70833334
4153647,9.875,-2.79166667
4153648,9.875,-2.70833334
4153649,9.875,-2.62500001
4153650,9.875,-2.54166667
4153651,9.875,-2.45833334
4153652,9.875,-2.37500001
4153653,9.875,-2.29166667
4153654,9.875,-2.20833334
4153655,9.875,-2.12500001
4153656,9.875,-2.04166667
4153657,9.875,-1.95833334
4153658,9.875,-1.87500001
4153659,9.875,-1.79166667
4153660,9.875,-1.70833334
4157967,9.79166667,-2.79166667
4157968,9.79166667,-2.70833334
4157969,9.79166667,-2.62500001
4157970,9.79166667,-2.54166667
4157971,9.79166667,-2.45833334
4157972,9.79166667,-2.37500001
4157973,9.79166667,-2.29166667
4157974,9.79166667,-2.20833334
4157975,9.79166667,-2.12500001
4157976,9.79166667,-2.04166667
4157977,9.79166667,-1.95833334
4157978,9.79166667,-1.87500001
4157979,9.79166667,-1.79166667
4157980,9.79166667,-1.70833334
4162287,9.70833334,-2.79166667
4162288,9.70833334,-2.70833334
4162289,9.70833334,-2.62500001
4162290,9.70833334,-2.54166667
4162294,9.70833334,-2.20833334
4162295,9.70833334,-2.12500001
4162296,9.70833334,-2.04166667
4162297,9.70833334,-1.95833334
4162298,9.70833334,-1.87500001
4162299,9.70833334,-1.79166667
4162300,9.70833334,-1.70833334
4166607,9.625,-2.79166667
4166608,9.625,-2.70833334
4166617,9.625,-1.95833334
4166618,9.625,-1.87500001
4084557,11.20833334,-0.29166667
4084558,11.20833334,-0.20833334
4088875,11.125,-0.45833334
4088876,11.125,-0.37500001
4088877,11.125,-0.29166667
4088878,11.125,-0.20833334
4088879,11.125,-0.12500001
4093182,11.04166667,-1.54166667
4093183,11.04166667,-1.45833334
4093184,11.04166667,-1.37500001
4093187,11.04166667,-1.12500001
4093188,11.04166667,-1.04166667
4093190,11.04166667,-0.87500001
4093191,11.04166667,-0.79166667
4093194,11.04166667,-0.54166667
4093195,11.04166667,-0.45833334
4093196,11.04166667,-0.37500001
4093197,11.04166667,-0.29166667
4093198,11.04166667,-0.20833334
4093199,11.04166667,-0.12500001
4097502,10.95833334,-1.54166667
4097503,10.95833334,-1.45833334
4097504,10.95833334,-1.37500001
4097505,10.95833334,-1.29166667
4097506,10.95833334,-1.20833334
4097507,10.95833334,-1.12500001
4097508,10.95833334,-1.04166667
4097509,10.95833334,-0.95833334
4097510,10.95833334,-0.87500001
4097511,10.95833334,-0.79166667
4097512,10.95833334,-0.70833334
4097513,10.95833334,-0.62500001
4097514,10.95833334,-0.54166667
4097515,10.95833334,-0.45833334
4097516,10.95833334,-0.37500001
4097517,10.95833334,-0.29166667
4097518,10.95833334,-0.20833334
4097519,10.95833334,-0.12500001
4101822,10.875,-1.54166667
4101823,10.875,-1.45833334
4101824,10.875,-1.37500001
4101825,10.875,-1.29166667
4101826,10.875,-1.20833334
4101827,10.875,-1.12500001
4101828,10.875,-1.04166667
4101829,10.875,-0.95833334
4101830,10.875,-0.87500001
4101831,10.875,-0.79166667
4101832,10.875,-0.70833334
4101833,10.875,-0.62500001
4101834,10.875,-0.54166667
4101835,10.875,-0.45833334
